customer,st,gender,education,customer_lifetime_value,income,monthly_premium_auto,number_of_open_complaints,policy_type,vehicle_class,total_claim_amount
KX54357,WA,M,COLLEGE,1136526.77,84910.0,95.0,1/0/00,CORPORATE AUTO,TWO-DOOR CAR,383.167471
EZ78112,CALI,FEMAL,HIGH SCHOOL OR BELOW,561096.43,77493.0,70.0,1/0/00,SPECIAL AUTO,FOUR-DOOR CAR,307.963291
XN16891,ARIZONA,M,COLLEGE,291289.2,81097.0,74.0,1/0/00,PERSONAL AUTO,FOUR-DOOR CAR,355.2
XK31350,OREGON,FEMAL,COLLEGE,691572.99,96610.0,85.0,1/0/00,CORPORATE AUTO,FOUR-DOOR CAR,520.364752
CC30924,OREGON,M,COLLEGE,626266.33,30110.0,159.0,1/0/00,CORPORATE AUTO,SPORTS CAR,466.436375
IT78748,OREGON,FEMAL,HIGH SCHOOL OR BELOW,650339.7,22081.0,84.0,1/0/00,SPECIAL AUTO,TWO-DOOR CAR,451.670309
KY33386,WA,FEMAL,HIGH SCHOOL OR BELOW,800739.94,0.0,112.0,1/0/00,PERSONAL AUTO,SPORTS CAR,537.6
CO44221,CALI,M,COLLEGE,292991.65,98473.0,72.0,1/0/00,PERSONAL AUTO,FOUR-DOOR CAR,345.6
LK60013,OREGON,FEMAL,BACHELOR,596955.3,97431.0,74.0,1/0/00,PERSONAL AUTO,FOUR-DOOR CAR,355.2
DE21533,CALI,M,BACHELOR,547315.99,93870.0,69.0,1/0/00,PERSONAL AUTO,FOUR-DOOR CAR,331.2
YS94121,NEVADA,M,HIGH SCHOOL OR BELOW,564539.67,50366.0,72.0,1/0/00,PERSONAL AUTO,FOUR-DOOR CAR,428.734656
UK68427,WA,M,HIGH SCHOOL OR BELOW,636926.24,34498.0,83.0,1/0/00,PERSONAL AUTO,TWO-DOOR CAR,398.4
TE49565,OREGON,FEMAL,COLLEGE,1183376.73,16552.0,103.0,1/0/00,PERSONAL AUTO,SUV,494.4
RA88421,OREGON,FEMAL,COLLEGE,612110.79,26787.0,77.0,1/0/00,PERSONAL AUTO,FOUR-DOOR CAR,369.6
KQ51983,NEVADA,M,COLLEGE,515936.97,0.0,74.0,1/0/00,PERSONAL AUTO,TWO-DOOR CAR,831.752839
CD88896,NEVADA,FEMAL,HIGH SCHOOL OR BELOW,251459.2,43860.0,65.0,1/0/00,CORPORATE AUTO,FOUR-DOOR CAR,156.124914
YV22553,ARIZONA,M,HIGH SCHOOL OR BELOW,866861.13,21474.0,114.0,1/2/00,CORPORATE AUTO,SUV,373.428187
WU14435,CALI,M,BACHELOR,496096.54,18174.0,66.0,1/0/00,CORPORATE AUTO,FOUR-DOOR CAR,395.934815
XV84099,ARIZONA,FEMAL,BACHELOR,550413.9,0.0,73.0,1/0/00,CORPORATE AUTO,FOUR-DOOR CAR,350.4
RI24911,ARIZONA,MALE,COLLEGE,750745.54,60920.0,64.0,1/0/00,PERSONAL AUTO,TWO-DOOR CAR,231.201886
KO26461,ARIZONA,MALE,HIGH SCHOOL OR BELOW,3226985.14,41520.0,90.0,1/0/00,PERSONAL AUTO,FOUR-DOOR CAR,289.904105
HI14283,OREGON,FEMAL,BACHELOR,565703.16,0.0,152.0,1/0/00,PERSONAL AUTO,SUV,729.6
PT50227,ARIZONA,MALE,HIGH SCHOOL OR BELOW,506175.79,0.0,68.0,1/0/00,PERSONAL AUTO,TWO-DOOR CAR,326.4
BH36570,CALI,MALE,BACHELOR,591278.38,72208.0,73.0,1/0/00,PERSONAL AUTO,TWO-DOOR CAR,350.4
TX17484,CALI,FEMAL,BACHELOR,1518227.98,53863.0,63.0,1/0/00,PERSONAL AUTO,FOUR-DOOR CAR,105.765111
CT41158,WA,MALE,COLLEGE,1074703.09,66446.0,136.0,1/0/00,CORPORATE AUTO,SUV,639.464548
AO87348,WA,MALE,COLLEGE,205062.35,0.0,61.0,1/0/00,PERSONAL AUTO,FOUR-DOOR CAR,292.8
DE55857,WA,FEMAL,BACHELOR,246544.49,64997.0,63.0,1/1/00,PERSONAL AUTO,FOUR-DOOR CAR,383.442328
LF66923,NEVADA,FEMAL,HIGH SCHOOL OR BELOW,534312.13,64460.0,66.0,1/0/00,CORPORATE AUTO,TWO-DOOR CAR,316.8
CN24514,ARIZONA,FEMAL,COLLEGE,811982.91,46618.0,67.0,1/0/00,PERSONAL AUTO,FOUR-DOOR CAR,99.085943
UW32074,OREGON,FEMAL,COLLEGE,460526.52,0.0,64.0,1/0/00,CORPORATE AUTO,FOUR-DOOR CAR,307.2
HP36979,CALI,MALE,COLLEGE,640878.56,49988.0,84.0,1/5/00,PERSONAL AUTO,TWO-DOOR CAR,566.935022
PP40919,CALI,FEMAL,COLLEGE,237653.35,0.0,91.0,1/5/00,PERSONAL AUTO,TWO-DOOR CAR,436.8
RO73268,CALI,M,BACHELOR,321107.0,16269.0,86.0,1/0/00,CORPORATE AUTO,TWO-DOOR CAR,412.8
HO61691,ARIZONA,F,BACHELOR,509452.23,72006.0,64.0,1/0/00,PERSONAL AUTO,FOUR-DOOR CAR,307.2
BS13062,ARIZONA,F,HIGH SCHOOL OR BELOW,2575527.82,0.0,81.0,1/2/00,PERSONAL AUTO,FOUR-DOOR CAR,388.8
FO35655,OREGON,M,BACHELOR,867222.97,0.0,245.0,1/0/00,CORPORATE AUTO,LUXURY SUV,2345.413441
HR10526,CALI,M,MASTER,804473.07,44320.0,67.0,1/0/00,PERSONAL AUTO,FOUR-DOOR CAR,321.6
IA63417,ARIZONA,F,HIGH SCHOOL OR BELOW,400151.91,19782.0,108.0,1/0/00,PERSONAL AUTO,TWO-DOOR CAR,773.470977
BH35016,NEVADA,F,BACHELOR,1670611.7,63933.0,70.0,1/0/00,PERSONAL AUTO,TWO-DOOR CAR,424.883448
PK52952,ARIZONA,M,DOCTOR,854441.11,28224.0,109.0,1/0/00,PERSONAL AUTO,SUV,523.2
OD76309,WA,F,COLLEGE,780531.29,21073.0,106.0,1/1/00,PERSONAL AUTO,SUV,508.8
IL28481,OREGON,M,BACHELOR,611275.69,63243.0,77.0,1/0/00,PERSONAL AUTO,FOUR-DOOR CAR,364.240307
GY55092,NEVADA,M,HIGH SCHOOL OR BELOW,477294.38,20993.0,133.0,1/0/00,PERSONAL AUTO,SUV,638.4
UF33451,OREGON,F,BACHELOR,1097909.56,94827.0,135.0,1/0/00,PERSONAL AUTO,SUV,354.729129
CF15558,CALI,F,MASTER,500426.38,39161.0,63.0,1/1/00,PERSONAL AUTO,TWO-DOOR CAR,283.995953
JM62924,WA,M,BACHELOR,1322304.38,37534.0,84.0,1/2/00,PERSONAL AUTO,FOUR-DOOR CAR,403.2
EM66435,OREGON,F,BACHELOR,262331.54,80210.0,65.0,1/0/00,CORPORATE AUTO,FOUR-DOOR CAR,20.543176
QX45933,CALI,M,BACHELOR,1784019.56,0.0,62.0,1/0/00,PERSONAL AUTO,FOUR-DOOR CAR,385.115437
JI71369,CALI,F,COLLEGE,510611.18,30110.0,64.0,1/0/00,PERSONAL AUTO,FOUR-DOOR CAR,140.165035
JU93290,ARIZONA,F,COLLEGE,1793060.45,21708.0,68.0,1/0/00,PERSONAL AUTO,FOUR-DOOR CAR,326.4
GU66096,ARIZONA,M,HIGH SCHOOL OR BELOW,545734.26,94731.0,67.0,1/0/00,PERSONAL AUTO,FOUR-DOOR CAR,321.6
UC33108,CALI,M,BACHELOR,656364.41,32375.0,83.0,1/0/00,PERSONAL AUTO,FOUR-DOOR CAR,398.4
LW93867,OREGON,M,COLLEGE,481252.52,16531.0,63.0,1/0/00,CORPORATE AUTO,FOUR-DOOR CAR,102.879769
OU78470,ARIZONA,F,MASTER,2932804.19,32006.0,94.0,1/0/00,CORPORATE AUTO,FOUR-DOOR CAR,56.868289
XW90265,ARIZONA,F,BACHELOR,577352.07,81676.0,72.0,1/0/00,PERSONAL AUTO,TWO-DOOR CAR,463.158502
HS67749,CALI,M,COLLEGE,684711.89,71038.0,86.0,1/0/00,CORPORATE AUTO,FOUR-DOOR CAR,205.444066
VZ51506,ARIZONA,F,HIGH SCHOOL OR BELOW,359531.29,0.0,103.0,1/0/00,CORPORATE AUTO,SPORTS CAR,741.6
UI64281,NEVADA,F,MASTER,2285561.21,20832.0,65.0,1/0/00,PERSONAL AUTO,TWO-DOOR CAR,56.371967
AE98193,WA,M,HIGH SCHOOL OR BELOW,785941.46,0.0,113.0,1/0/00,PERSONAL AUTO,SUV,813.6
AZ74055,OREGON,M,HIGH SCHOOL OR BELOW,411557.74,52405.0,103.0,1/0/00,PERSONAL AUTO,FOUR-DOOR CAR,494.4
XS76911,ARIZONA,F,HIGH SCHOOL OR BELOW,502963.88,0.0,133.0,1/0/00,PERSONAL AUTO,SPORTS CAR,795.864079
AY40674,WA,F,BACHELOR,482141.85,26583.0,1005.0,1/4/00,PERSONAL AUTO,SUV,614.4
NA12740,OREGON,M,MASTER,500431.05,25486.0,65.0,1/0/00,SPECIAL AUTO,TWO-DOOR CAR,72.438681
UA84837,ARIZONA,M,COLLEGE,863005.39,24065.0,111.0,1/0/00,CORPORATE AUTO,FOUR-DOOR CAR,532.8
DJ51510,ARIZONA,F,HIGH SCHOOL OR BELOW,932208.51,70435.0,116.0,1/0/00,PERSONAL AUTO,FOUR-DOOR CAR,67.881546
VM58985,CALI,M,COLLEGE,1672756.06,0.0,76.0,1/2/00,PERSONAL AUTO,TWO-DOOR CAR,402.636829
OH60605,OREGON,F,HIGH SCHOOL OR BELOW,365253.24,39679.0,92.0,1/0/00,PERSONAL AUTO,TWO-DOOR CAR,641.388616
UO98052,NEVADA,M,COLLEGE,615860.12,0.0,89.0,1/0/00,PERSONAL AUTO,FOUR-DOOR CAR,342.481173
NC53424,CALI,M,BACHELOR,437608.4,0.0,69.0,1/4/00,PERSONAL AUTO,TWO-DOOR CAR,331.2
LQ13873,NEVADA,M,HIGH SCHOOL OR BELOW,556945.62,53565.0,71.0,1/1/00,PERSONAL AUTO,FOUR-DOOR CAR,340.8
LA97014,WA,M,BACHELOR,257651.3,37574.0,66.0,1/1/00,PERSONAL AUTO,TWO-DOOR CAR,412.101933
NB79936,WA,M,BACHELOR,834698.32,48259.0,108.0,1/0/00,PERSONAL AUTO,TWO-DOOR CAR,73.700573
NT89061,ARIZONA,F,HIGH SCHOOL OR BELOW,632392.39,78532.0,78.0,1/0/00,PERSONAL AUTO,FOUR-DOOR CAR,374.4
AF10970,ARIZONA,F,BACHELOR,597314.34,96163.0,73.0,1/0/00,CORPORATE AUTO,FOUR-DOOR CAR,350.4
ZG48513,CALI,M,BACHELOR,470667.7,0.0,72.0,1/0/00,PERSONAL AUTO,FOUR-DOOR CAR,345.6
JQ59145,CALI,MALE,HIGH SCHOOL OR BELOW,809341.03,0.0,114.0,1/1/00,PERSONAL AUTO,SPORTS CAR,722.024742
FE84989,WA,MALE,COLLEGE,503574.46,72672.0,63.0,1/0/00,PERSONAL AUTO,FOUR-DOOR CAR,259.361117
JT52858,OREGON,F,BACHELOR,902786.72,99002.0,112.0,1/1/00,PERSONAL AUTO,FOUR-DOOR CAR,537.6
MC62068,CALIFORNIA,MALE,HIGH SCHOOL OR BELOW,728888.48,79494.0,91.0,1/0/00,PERSONAL AUTO,FOUR-DOOR CAR,396.295614
EU27538,OREGON,MALE,MASTER,1804247.94,35704.0,225.0,1/0/00,PERSONAL AUTO,LUXURY CAR,358.281562
RH42306,ARIZONA,F,BACHELOR,499206.3,0.0,71.0,1/0/00,CORPORATE AUTO,FOUR-DOOR CAR,653.388564
US23612,OREGON,F,HIGH SCHOOL OR BELOW,910226.78,26049.0,118.0,1/0/00,PERSONAL AUTO,TWO-DOOR CAR,121.032372
WV76014,ARIZONA,MALE,DOCTOR,254040.77,70125.0,64.0,1/0/00,SPECIAL AUTO,FOUR-DOOR CAR,92.813396
RK96223,CALIFORNIA,MALE,COLLEGE,1294189.19,52369.0,110.0,1/1/00,PERSONAL AUTO,SUV,528.0
MF82000,WA,FEMALE,BACHELOR,236534.86,0.0,66.0,1/2/00,SPECIAL AUTO,FOUR-DOOR CAR,159.636956
FM46980,ARIZONA,MALE,COLLEGE,572076.51,41770.0,72.0,1/0/00,PERSONAL AUTO,FOUR-DOOR CAR,476.156957
SY56792,OREGON,MALE,HIGH SCHOOL OR BELOW,703553.41,0.0,101.0,1/0/00,CORPORATE AUTO,FOUR-DOOR CAR,727.2
RF61565,CALIFORNIA,M,COLLEGE,263697.77,31911.0,67.0,1/0/00,PERSONAL AUTO,FOUR-DOOR CAR,321.6
IM94808,NEVADA,M,BACHELOR,539583.2,70051.0,68.0,1/0/00,CORPORATE AUTO,FOUR-DOOR CAR,42.078345
VI14730,OREGON,M,HIGH SCHOOL OR BELOW,838263.01,19683.0,117.0,1/1/00,PERSONAL AUTO,SPORTS CAR,561.6
YR34119,WA,F,COLLEGE,3116174.52,30916.0,112.0,1/0/00,PERSONAL AUTO,SUV,200.11606
RR77985,OREGON,F,BACHELOR,288774.23,0.0,80.0,1/0/00,PERSONAL AUTO,FOUR-DOOR CAR,676.944023
QD28391,WASHINGTON,M,COLLEGE,742584.53,84302.0,62.0,1/0/00,PERSONAL AUTO,FOUR-DOOR CAR,76.609295
WV17090,CALIFORNIA,M,BACHELOR,2558572.78,0.0,116.0,1/0/00,CORPORATE AUTO,SUV,830.623064
TM23514,OREGON,M,COLLEGE,1027260.82,60145.0,132.0,1/0/00,PERSONAL AUTO,SUV,580.473259
MQ68407,OREGON,F,BACHELOR,437636.36,63774.0,111.0,1/0/00,PERSONAL AUTO,FOUR-DOOR CAR,60.036683
GJ59592,CALIFORNIA,F,BACHELOR,531889.66,25134.0,67.0,1/0/00,CORPORATE AUTO,FOUR-DOOR CAR,321.6
FY56083,OREGON,M,BACHELOR,471976.22,37057.0,61.0,1/1/00,PERSONAL AUTO,FOUR-DOOR CAR,47.53101
UA94723,OREGON,F,HIGH SCHOOL OR BELOW,442803.16,58577.0,110.0,1/0/00,PERSONAL AUTO,SUV,303.872752
FW91032,CALIFORNIA,M,HIGH SCHOOL OR BELOW,587917.61,85857.0,73.0,1/0/00,CORPORATE AUTO,FOUR-DOOR CAR,100.620067
DE34457,OREGON,F,DOCTOR,941690.85,70602.0,116.0,1/0/00,PERSONAL AUTO,SUV,481.339891
HD32044,OREGON,F,MASTER,828815.56,33816.0,106.0,1/2/00,CORPORATE AUTO,FOUR-DOOR CAR,508.8
